Site,Year,Depth,Coverage,Min Temp,Max Temp,Avg Temp,Med Temp,Prev Coverage
"Chicken Reef",2001,2.0,2L,24.42442802419356,28.682015104166663,26.50624907908329,26.288127753509556,2L
"Chicken Reef",2002,2.0,2L,24.42442802419356,28.682015104166663,26.50624907908329,26.288127753509556,2L
"Chicken Reef",2003,2.0,2L,24.42442802419356,28.682015104166663,26.50624907908329,26.288127753509556,2L
"Chicken Reef",2004,2.0,1U,24.42442802419356,28.682015104166663,26.50624907908329,26.288127753509556,2L
"Chicken Reef",2005,2.0,1U,24.42442802419356,28.682015104166663,26.50624907908329,26.288127753509556,1U
"Chicken Reef",2006,2.0,1U,24.42442802419356,28.682015104166663,26.50624907908329,26.288127753509556,1U
"Chicken Reef",2007,2.0,1U,24.42442802419356,28.682015104166663,26.50624907908329,26.288127753509556,1U
"Chicken Reef",2008,2.0,1U,24.42442802419356,28.682015104166663,26.50624907908329,26.288127753509556,1U
"Chicken Reef",2009,2.0,2L,24.42442802419356,28.682015104166663,26.50624907908329,26.288127753509556,1U
"Chicken Reef",2010,2.0,1U,24.95059811827957,28.682015104166663,26.966467891187182,26.830447692652328,2L
"Chicken Reef",2011,2.0,1L,23.121057078853045,29.14201719348659,26.069728341443383,25.984481761158953,1U
"Chicken Reef",2012,2.0,1L,24.03360499551971,29.14201719348659,26.397318686034897,26.480506669653526,1L
"Chicken Reef",2013,2.0,1L,24.03360499551971,28.343266241039423,26.223966472629197,26.480506669653526,1L
"Chicken Reef",2014,2.0,1L,23.34445723566309,28.343266241039423,25.954340824350542,25.98401435185185,1L
"Chicken Reef",2015,2.0,1U,23.34445723566309,29.02869740143369,26.445476696557474,26.918931990740738,1L
"Chicken Reef",2016,2.0,2L,23.34445723566309,29.02869740143369,26.445476696557474,26.918931990740738,1U
"Chicken Reef",2017,2.0,2L,23.34445723566309,29.02869740143369,26.445476696557474,26.918931990740738,2L
"Chicken Reef",2018,2.0,2L,23.34445723566309,29.02869740143369,26.445476696557474,26.918931990740738,2L
"Chicken Reef",2020,2.0,2L,23.34445723566309,29.02869740143369,26.445476696557474,26.918931990740738,2L
"Chicken Reef",2021,2.0,2U,23.34445723566309,29.02869740143369,26.445476696557474,26.918931990740738,2L
